Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,Avg Fight Time,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Weight_Class,Gender,DEC Count,KO Rate,SUB Rate,DEC Rate,Fighting Style,Total_Fights,Win_Rate
4123fd4dcc1fe937,David Terrell,The Soul Assassin,6.1,185.0,Southpaw,6,2,0,0,1.0,162.33,0.33,6.33,1.0,1.0,34.33,0.62,0.6,0.33,0.42,0.36,0.53,0.5,1.0,Middleweight,Male,0.0,0.5,0.5,0.0,Wrestler,8,0.75
2747c60e42d9d75f,David Teymur,No Nickname,5.9,155.0,Southpaw,8,2,0,0,2.5,637.67,0.5,46.5,0.5,0.0,27.5,0.47,0.33,0.68,0.81,0.48,0.27,0.38,0.0,Lightweight,Male,1.0,0.67,0.0,0.33,Hybrid,10,0.8
fbf0537e420e698e,Daniel Teymur,Kid Dynamite,5.5,145.0,Orthodox,7,4,0,0,2.4,643.8,0.0,32.4,1.2,0.6,140.8,0.43,0.34,0.68,0.38,0.42,0.57,0.33,0.6,Featherweight,Male,1.0,0.0,0.5,0.5,Hybrid,11,0.6363636363636364
638cfec7ec559d6e,Brandon Thatch,Rukus,6.2,170.0,Switch,11,5,0,0,1.83,441.0,0.0,24.83,1.17,0.5,119.17,0.4,0.24,0.91,0.55,0.28,0.76,0.18,0.5,Welterweight,Male,0.0,0.0,1.0,0.0,Hybrid,16,0.6875
34f88592c0ab7a54,Elias Theodorou,The Spartan,6.1,185.0,Orthodox,16,3,0,0,2.82,838.91,0.0,55.27,1.09,0.0,148.82,0.42,0.31,0.58,0.72,0.34,0.74,0.47,0.0,Middleweight,Male,7.0,0.12,0.0,0.88,Striker,19,0.8421052631578947
30a09e43f15f1d75,Paulo Thiago,No Nickname,5.11,170.0,Orthodox,18,9,0,0,2.46,684.23,0.54,21.85,1.08,1.08,154.77,0.42,0.33,0.67,0.68,0.35,0.5,0.38,1.08,Welterweight,Male,6.0,0.3,0.1,0.6,Wrestler,27,0.6666666666666666
ed7d329d7c29428d,Colby Thicknesse,Slickness,5.7,135.0,Orthodox,8,1,0,0,3.0,900.0,0.0,51.5,1.5,0.5,383.5,0.53,0.43,0.83,1.0,0.49,0.69,0.54,0.5,Bantamweight,Male,2.0,0.0,0.0,1.0,Striker,9,0.8888888888888888
40a604761ca7d64d,Din Thomas,Dinyero,5.9,155.0,Orthodox,26,9,0,0,2.33,654.22,0.11,20.22,1.0,0.89,149.67,0.35,0.32,0.55,0.56,0.26,0.48,0.49,0.89,Lightweight,Male,3.0,0.0,0.4,0.6,Wrestler,35,0.7428571428571429
7d3caf0f96f1b33d,Nick Thompson,The Goat,6.1,170.0,Orthodox,38,14,1,0,2.0,592.0,0.0,25.0,1.0,1.5,219.0,0.36,0.26,0.46,1.0,0.37,0.36,0.39,1.5,Welterweight,Male,1.0,0.0,0.0,1.0,Wrestler,53,0.7169811320754716
dcdd511ff757f15c,Oli Thompson,No Nickname,6.1,242.0,Orthodox,17,10,0,0,2.0,544.5,0.0,41.0,0.0,0.0,64.0,0.54,0.39,0.86,0.3,0.45,0.92,0.2,0.0,Heavyweight,Male,0.0,1.0,0.0,0.0,Hybrid,27,0.6296296296296297
4a28cb716c19157a,Stephen Thompson,Wonderboy,6.0,170.0,Orthodox,17,9,1,0,3.0,871.41,0.27,53.5,0.82,0.05,96.55,0.44,0.31,0.62,0.8,0.39,0.59,0.26,0.05,Welterweight,Male,7.0,0.3,0.0,0.7,Hybrid,27,0.6296296296296297
a566371ba2ad7152,Josh Thomson,The Punk,5.1,155.0,Orthodox,22,9,0,0,2.57,737.29,0.29,35.14,1.43,0.43,167.57,0.48,0.36,0.59,0.7,0.43,0.59,0.42,0.43,Lightweight,Male,3.0,0.25,0.0,0.75,Striker,31,0.7096774193548387
fea8acf9bfcf09ec,Simeon Thoresen,The Grin,6.1,170.0,Orthodox,17,6,1,0,2.0,535.33,0.0,38.0,0.67,1.67,150.0,0.41,0.32,0.83,0.42,0.31,0.81,0.41,1.67,Welterweight,Male,1.0,0.0,0.5,0.5,Wrestler,24,0.7083333333333334
75e5fec9f72910ef,Gleison Tibau,No Nickname,5.1,155.0,Southpaw,33,14,0,0,2.39,662.04,0.07,23.64,2.64,0.57,213.0,0.34,0.3,0.47,0.55,0.27,0.46,0.37,0.57,Lightweight,Male,10.0,0.06,0.31,0.62,Wrestler,47,0.7021276595744681
9eb069062a0cfc13,Nolan Ticman,No Nickname,5.6,125.0,Orthodox,4,3,0,0,3.0,900.0,0.0,38.0,3.0,0.0,192.0,0.3,0.22,0.45,0.95,0.2,0.59,0.22,0.0,Flyweight,Male,2.0,0.0,0.0,1.0,Hybrid,7,0.5714285714285714
9ce6d5a03af801b7,Darren Till,The Gorilla,6.0,185.0,Southpaw,18,5,1,0,2.92,816.42,0.25,35.25,1.0,0.25,94.42,0.45,0.31,0.76,0.79,0.38,0.76,0.42,0.25,Middleweight,Male,2.0,0.25,0.25,0.5,Striker,24,0.75
0112352cb32f5026,Denis Tiuliulin,No Nickname,6.1,185.0,Orthodox,10,10,0,0,1.83,470.33,0.33,28.33,0.5,0.0,34.67,0.38,0.3,0.6,0.39,0.36,0.55,0.08,0.0,Middleweight,Male,0.0,1.0,0.0,0.0,Hybrid,20,0.5
866fd7b1a6c90e7f,Dusko Todorovic,Thunder,6.1,185.0,Orthodox,13,6,0,0,1.6,417.4,0.0,20.0,1.2,0.3,93.6,0.51,0.36,0.68,0.62,0.4,0.64,0.26,0.3,Middleweight,Male,1.0,0.0,0.0,1.0,Hybrid,19,0.6842105263157895
c4af2feb4b58bc3b,Kazuki Tokudome,No Nickname,5.11,155.0,Southpaw,18,7,1,0,2.75,788.5,1.0,41.5,0.75,0.25,130.0,0.38,0.34,0.54,0.73,0.34,0.55,0.66,0.25,Lightweight,Male,1.0,0.0,0.5,0.5,Striker,26,0.6923076923076923
54f64b5e283b0ce7,Ilia Topuria,El Matador,5.7,155.0,Orthodox,17,0,0,1,2.22,561.67,0.44,38.44,0.33,0.11,41.78,0.46,0.36,0.64,0.87,0.45,0.4,0.53,0.11,Lightweight,Male,0.0,1.0,0.0,0.0,Striker,17,1.0
918d9d89d4d52acc,Anthony Torres,The Crush,5.8,170.0,Orthodox,5,3,0,0,1.0,203.5,0.0,12.0,0.0,0.5,57.0,0.48,0.4,1.0,0.5,0.38,0.75,0.5,0.5,Welterweight,Male,0.0,0.0,1.0,0.0,Hybrid,8,0.625
33b2f68ef95252e0,Miguel Torres,No Nickname,5.9,135.0,Orthodox,44,9,0,0,2.5,724.5,0.25,41.5,1.25,0.0,181.75,0.43,0.28,0.82,0.68,0.39,0.51,0.17,0.0,Bantamweight,Male,3.0,0.25,0.0,0.75,Striker,53,0.8301886792452831
2e7878927067fdca,Manuel Torres,El Loco,5.1,155.0,Switch,17,3,0,0,1.0,152.5,0.67,15.67,0.33,0.17,17.5,0.62,0.52,0.88,0.45,0.47,0.5,0.59,0.17,Lightweight,Male,0.0,0.75,0.25,0.0,Striker,20,0.85
cbf1c7ba5408a66f,Salim Touahri,Grizzly,5.1,170.0,Orthodox,10,4,0,0,3.0,900.0,0.0,40.0,0.67,0.0,123.0,0.44,0.3,0.66,0.78,0.39,0.8,0.35,0.0,Welterweight,Male,1.0,0.0,0.0,1.0,Hybrid,14,0.7142857142857143
3f7dab21b6c971bc,Dequan Townsend,The Tarantula,6.3,205.0,Orthodox,21,12,0,0,2.75,734.25,0.0,33.0,0.25,0.0,52.75,0.41,0.3,0.8,0.69,0.32,0.91,0.4,0.0,Middleweight,Male,0.0,1.0,0.0,0.0,Hybrid,33,0.6363636363636364
97a6bbe6e6566a94,Francisco Trevino,Sitkayan,5.9,155.0,Orthodox,13,3,0,0,2.33,619.0,0.0,25.0,3.33,0.0,201.0,0.41,0.37,0.67,0.63,0.41,0.56,0.87,0.0,Lightweight,Male,1.0,0.5,0.0,0.5,Striker,16,0.8125
